2019-06-01T18:42:18.213+0200 I CONTROL  [main] Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'
2019-06-01T18:42:18.234+0200 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2019-06-01T18:42:20.110+0200 I STORAGE  [initandlisten] WiredTiger message [1559407340:109967][52547:0x7fff986313c0], txn-recover: Main recovery loop: starting at 3/28544 to 4/256
2019-06-01T18:42:20.110+0200 I STORAGE  [initandlisten] WiredTiger message [1559407340:110714][52547:0x7fff986313c0], txn-recover: Recovering log 3 through 4
2019-06-01T18:42:20.318+0200 I STORAGE  [initandlisten] WiredTiger message [1559407340:318270][52547:0x7fff986313c0], file:collection-8-5142857408325421769.wt, txn-recover: Recovering log 4 through 4
2019-06-01T18:42:20.371+0200 I STORAGE  [initandlisten] WiredTiger message [1559407340:371361][52547:0x7fff986313c0], file:collection-8-5142857408325421769.wt, txn-recover: Set global recovery timestamp: 5cf29e0b00000001
2019-06-01T18:42:20.636+0200 I RECOVERY [initandlisten] WiredTiger recoveryTimestamp. Ts: Timestamp(1559404043, 1)
2019-06-01T18:42:20.636+0200 I STORAGE  [initandlisten] Triggering the first stable checkpoint. Initial Data: Timestamp(1559404043, 1) PrevStable: Timestamp(0, 0) CurrStable: Timestamp(1559404043, 1)
2019-06-01T18:42:20.799+0200 I STORAGE  [initandlisten] Starting OplogTruncaterThread local.oplog.rs
2019-06-01T18:42:20.799+0200 I STORAGE  [initandlisten] The size storer reports that the oplog contains 21855 records totaling to 3176620 bytes
2019-06-01T18:42:20.811+0200 I STORAGE  [initandlisten] Sampling from the oplog between May 29 19:45:01:1 and Jun  1 17:47:53:1 to determine where to place markers for truncation
2019-06-01T18:42:20.811+0200 I STORAGE  [initandlisten] Taking 1 samples and assuming that each section of oplog contains approximately 125920 records totaling to 18302447 bytes
2019-06-01T18:42:20.996+0200 I CONTROL  [initandlisten] 
2019-06-01T18:42:20.996+0200 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2019-06-01T18:42:20.996+0200 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2019-06-01T18:42:20.996+0200 I CONTROL  [initandlisten] 
2019-06-01T18:42:20.996+0200 I CONTROL  [initandlisten] 
2019-06-01T18:42:20.996+0200 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2019-06-01T18:42:21.123+0200 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/Users/airSchmao1/Documents/_workshops/London_IDA/dev/web/compostpile/./data/db/diagnostic.data'
2019-06-01T18:42:21.220+0200 I REPL     [initandlisten] Rollback ID is 1
2019-06-01T18:42:21.239+0200 I REPL     [initandlisten] Recovering from stable timestamp: Timestamp(1559404043, 1) (top of oplog: { ts: Timestamp(1559404073, 1), t: 3 }, appliedThrough: { ts: Timestamp(0, 0), t: -1 }, TruncateAfter: Timestamp(0, 0))
2019-06-01T18:42:21.239+0200 I REPL     [initandlisten] Starting recovery oplog application at the stable timestamp: Timestamp(1559404043, 1)
2019-06-01T18:42:21.239+0200 I REPL     [initandlisten] Replaying stored operations from { : Timestamp(1559404043, 1) } (exclusive) to { : Timestamp(1559404073, 1) } (inclusive).
2019-06-01T18:42:21.410+0200 I CONTROL  [LogicalSessionCacheRefresh] Sessions collection is not set up; waiting until next sessions refresh interval: Replication has not yet been configured
2019-06-01T18:42:21.410+0200 I NETWORK  [initandlisten] waiting for connections on port 27017
2019-06-01T18:42:21.411+0200 I NETWORK  [listener] connection accepted from 127.0.0.1:50060 #2 (1 connection now open)
2019-06-01T18:42:21.411+0200 I NETWORK  [conn2] end connection 127.0.0.1:50060 (0 connections now open)
2019-06-01T18:42:21.411+0200 I REPL     [replexec-0] New replica set config in use: { _id: "rs0", version: 1, protocolVersion: 1, writeConcernMajorityJournalDefault: true, members: [ { _id: 0, host: "localhost:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: -1, catchUpTakeoverDelayMillis: 30000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5ceec51cf4dfa9281467c4ef') } }
2019-06-01T18:42:21.411+0200 I REPL     [replexec-0] This node is localhost:27017 in the config
2019-06-01T18:42:21.411+0200 I REPL     [replexec-0] transition to STARTUP2 from STARTUP
2019-06-01T18:42:21.411+0200 I REPL     [replexec-0] Starting replication storage threads
2019-06-01T18:42:21.541+0200 I REPL     [replexec-0] transition to RECOVERING from STARTUP2
2019-06-01T18:42:21.541+0200 I REPL     [replexec-0] Starting replication fetcher thread
2019-06-01T18:42:21.541+0200 I REPL     [replexec-0] Starting replication applier thread
2019-06-01T18:42:21.541+0200 I REPL     [replexec-0] Starting replication reporter thread
2019-06-01T18:42:21.541+0200 I REPL     [rsSync-0] Starting oplog application
2019-06-01T18:42:21.541+0200 I REPL     [rsSync-0] transition to SECONDARY from RECOVERING
2019-06-01T18:42:21.542+0200 I REPL     [rsSync-0] conducting a dry run election to see if we could be elected. current term: 3
2019-06-01T18:42:21.542+0200 I REPL     [replexec-0] dry election run succeeded, running for election in term 4
2019-06-01T18:42:21.667+0200 I REPL     [replexec-0] election succeeded, assuming primary role in term 4
2019-06-01T18:42:21.667+0200 I REPL     [replexec-0] transition to PRIMARY from SECONDARY
2019-06-01T18:42:21.667+0200 I REPL     [replexec-0] Resetting sync source to empty, which was :27017
2019-06-01T18:42:21.667+0200 I REPL     [replexec-0] Entering primary catch-up mode.
2019-06-01T18:42:21.667+0200 I REPL     [replexec-0] Exited primary catch-up mode.
2019-06-01T18:42:21.667+0200 I REPL     [replexec-0] Stopping replication producer
2019-06-01T18:42:22.058+0200 I FTDC     [ftdc] Unclean full-time diagnostic data capture shutdown detected, found interim file, some metrics may have been lost. OK
2019-06-01T18:42:23.553+0200 I REPL     [rsSync-0] transition to primary complete; database writes are now permitted
2019-06-01T18:47:30.743+0200 I NETWORK  [listener] connection accepted from 127.0.0.1:50078 #3 (1 connection now open)
2019-06-01T18:47:30.749+0200 I NETWORK  [conn3] received client metadata from 127.0.0.1:50078 conn3: { driver: { name: "nodejs", version: "3.2.6" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v6.11.0, LE, mongodb-core: 3.2.6" }
2019-06-01T18:48:30.787+0200 I NETWORK  [listener] connection accepted from 127.0.0.1:50094 #4 (2 connections now open)
2019-06-01T18:48:30.788+0200 I NETWORK  [conn4] received client metadata from 127.0.0.1:50094 conn4: { driver: { name: "nodejs", version: "3.2.6" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v6.11.0, LE, mongodb-core: 3.2.6" }
2019-06-01T21:42:40.620+0200 I NETWORK  [conn4] end connection 127.0.0.1:50094 (1 connection now open)
2019-06-01T21:42:41.486+0200 I NETWORK  [conn3] end connection 127.0.0.1:50078 (0 connections now open)
